DATAFLOW;LAST UPDATE;freq;nrg_bal;siec;unit;geo;TIME_PERIOD;OBS_VALUE;OBS_FLAG
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;PT;2021;0.000;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;PT;2022;0.000;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;DE;2000;49081500;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;DE;2001;61028750;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;DE;2002;67302250;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;DE;2003;124222542;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;DE;2004;139281456;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;DE;2005;197248626;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;DE;2006;151081389;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;DE;2007;152749379;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;DE;2008;146666164;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;DE;2009;128952015;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;DE;2010;199538363;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;DE;2011;171583272;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;DE;2012;165866055;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;DE;2013;214048030;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;DE;2014;217105513;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;DE;2015;316831194;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;DE;2016;224784469;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;DE;2017;312849472;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;DE;2018;0.000;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;DE;2019;0.000;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;DE;2020;0.000;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;DE;2021;0.000;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;DE;2022;0.000;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;ES;2000;0.000;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;ES;2001;0.000;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;ES;2002;0.000;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;ES;2003;0.000;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;ES;2004;0.000;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;ES;2005;0.000;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;ES;2006;0.000;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;ES;2007;0.000;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;ES;2008;474757;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;ES;2009;10387971;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;ES;2010;11687410;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;ES;2011;17166453;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;ES;2012;28279655;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;ES;2013;59016926;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;ES;2014;83176000;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;ES;2015;51198188;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;ES;2016;40344918;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;ES;2017;29146500;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;ES;2018;32852000;
